posicao,produto,tipo_estoque,tipo,Material,curva_qtd,curva_valor,tipo_item,tipo_produto,rack_original,rack_visualizacao,altura,rua,lado,label
A-29-1,HA0160,Estoque bloqueado 005,Rack,HA0160,C,C,shrink,acabado,29,29,1,A,d,Ad1
A-21-1,HA0452,Estoque utilização livre 005,Rack,HA0452,C,C,shrink,acabado,21,21,1,A,d,Ad1
A-21-1,HA0452,Estoque utilização livre 005,Rack,HA0452,C,C,shrink,acabado,21,21,1,A,d,Ad1
A-21-1,HA0452,Estoque utilização livre 005,Rack,HA0452,C,C,shrink,acabado,21,21,1,A,d,Ad1
A-17-1,HA0160,Estoque utilização livre 005,Rack,HA0160,C,C,shrink,acabado,17,17,1,A,d,Ad1
A-30-1,HA0363,Estoque utilização livre 005,Rack,HA0363,B,C,shrink,acabado,30,30,1,A,d,Ad1
A-16-1,SA0175,Estoque utilização livre 005,Rack,SA0175,B,B,stretch,acabado,16,16,1,A,d,Ad1
A-16-1,SA0175,Estoque utilização livre 005,Rack,SA0175,B,B,stretch,acabado,16,16,1,A,d,Ad1
A-20-1,SA0357,Estoque bloqueado 005,Rack,SA0357,B,B,stretch,acabado,20,20,1,A,d,Ad1
A-17-1,HA0160,Estoque utilização livre 005,Rack,HA0160,C,C,shrink,acabado,17,17,1,A,d,Ad1
A-17-1,HA0023,Estoque utilização livre 005,Rack,HA0023,C,C,shrink,acabado,17,17,1,A,d,Ad1
A-25-1,SA0125,Estoque utilização livre 005,Rack,SA0125,C,C,stretch,acabado,25,25,1,A,d,Ad1
A-26-1,HA0160,Estoque utilização livre 005,Rack,HA0160,C,C,shrink,acabado,26,26,1,A,d,Ad1
A-26-1,HA0160,Estoque utilização livre 005,Rack,HA0160,C,C,shrink,acabado,26,26,1,A,d,Ad1
A-27-1,HA0544,Estoque utilização livre 005,Rack,HA0544,C,C,shrink,acabado,27,27,1,A,d,Ad1
A-26-1,HA0160,Estoque utilização livre 005,Rack,HA0160,C,C,shrink,acabado,26,26,1,A,d,Ad1
A-25-1,SA0125,Estoque utilização livre 005,Rack,SA0125,C,C,stretch,acabado,25,25,1,A,d,Ad1
A-27-1,HA0544,Estoque utilização livre 005,Rack,HA0544,C,C,shrink,acabado,27,27,1,A,d,Ad1
A-27-1,SA0166,Estoque utilização livre 005,Rack,SA0166,A,A,stretch,acabado,27,27,1,A,d,Ad1
A-11-1,SA0357,Estoque bloqueado 005,Rack,SA0357,B,B,stretch,acabado,11,11,1,A,d,Ad1
A-11-1,SA0357,Estoque bloqueado 005,Rack,SA0357,B,B,stretch,acabado,11,11,1,A,d,Ad1
A-28-1,SA0125,Estoque utilização livre 005,Rack,SA0125,C,C,stretch,acabado,28,28,1,A,d,Ad1
A-11-1,HA0519,Estoque bloqueado 005,Rack,HA0519,C,C,shrink,acabado,11,11,1,A,d,Ad1
