Material,qtd_total,percentual_qtd,acumulado_qtd,curva_qtd,valor_total,percentual_valor,acumulado_valor,curva_valor,inicial_item,tipo_item,tipo_produto
SA0274,182141.68,3.68,3.68,A,1841451.81,3.85,9.0,A,SA,stretch,acabado
SA0192,177104.34,3.58,7.26,A,2458207.31,5.15,5.15,A,SA,stretch,acabado
SA0166,133912.94,2.71,9.969999999999999,A,1353859.51,2.83,14.790000000000001,A,SA,stretch,acabado
SA0191,117754.3,2.38,12.349999999999998,A,1413051.5999999999,2.96,11.96,A,SA,stretch,acabado
SA0163,71960.0,1.45,13.799999999999997,A,727515.48,1.52,17.900000000000002,A,SA,stretch,acabado
SE0024,69930.46,1.41,15.209999999999997,A,706996.74,1.48,19.380000000000003,A,SE,stretch,semiacabado
HA0338,69201.96,1.4,16.609999999999996,A,761221.56,1.59,16.380000000000003,A,HA,shrink,acabado
SA0469,66002.4,1.33,17.939999999999998,A,660024.0,1.38,20.76,B,SA,stretch,acabado
SA0164,62473.7,1.26,19.2,A,631609.37,1.32,24.76,B,SA,stretch,acabado
SA0528,61109.9,1.23,20.43,B,617820.98,1.29,27.37,B,SA,stretch,acabado
SA0357,59041.22,1.19,21.62,B,631150.62,1.32,26.080000000000002,B,SA,stretch,acabado
HA0007,58406.84,1.18,22.8,B,642475.24,1.34,22.1,B,HA,shrink,acabado
SA0033,56037.5,1.13,23.93,B,566539.24,1.19,28.560000000000002,B,SA,stretch,acabado
SA0091,53138.4,1.07,25.0,B,537229.13,1.12,31.990000000000002,B,SA,stretch,acabado
SA0193,52452.85,1.06,26.06,B,530298.41,1.11,33.1,B,SA,stretch,acabado
SA0215,52359.28,1.06,27.119999999999997,B,641924.65,1.34,23.44,B,SA,stretch,acabado
SA0157,51430.9,1.04,28.159999999999997,B,519966.28,1.09,34.190000000000005,B,SA,stretch,acabado
HA0069,51309.76,1.04,29.199999999999996,B,564407.36,1.18,29.740000000000002,B,HA,shrink,acabado
SA0566,46329.5,0.94,30.139999999999997,B,46329.5,0.1,94.21000000000002,C,SA,stretch,acabado
SA0127,45801.9,0.93,31.069999999999997,B,463057.22,0.97,37.190000000000005,B,SA,stretch,acabado
HA0410,45778.14,0.92,31.99,B,541097.62,1.13,30.87,B,HA,shrink,acabado
SA0175,45549.8,0.92,32.91,B,480094.8,1.0,36.220000000000006,B,SA,stretch,acabado
HA0328,44802.46,0.91,33.81999999999999,B,492827.06,1.03,35.220000000000006,B,HA,shrink,acabado
SA0564,42975.5,0.87,34.68999999999999,B,429755.0,0.9,39.93,B,SA,stretch,acabado
HA0475,40723.52,0.82,35.50999999999999,B,447958.72,0.94,38.13,B,HA,shrink,acabado
SA0108,40560.2,0.82,36.32999999999999,B,410063.57,0.86,43.41,B,SA,stretch,acabado
SA0309,39109.43,0.79,37.11999999999999,B,412213.36,0.86,42.55,B,SA,stretch,acabado
SA0092,38558.04,0.78,37.89999999999999,B,389821.72,0.82,45.89,B,SA,stretch,acabado
SA0168,37861.14,0.76,38.65999999999999,B,382776.06,0.8,46.69,B,SA,stretch,acabado
SA0026,37790.5,0.76,39.41999999999999,B,382062.11,0.8,47.489999999999995,B,SA,stretch,acabado
HA0625,37665.9,0.76,40.179999999999986,B,414324.9,0.87,41.69,B,HA,shrink,acabado
SA0211,37119.48,0.75,40.929999999999986,B,375649.4,0.79,49.87999999999999,B,SA,stretch,acabado
SA0153,36681.2,0.74,41.66999999999999,B,370847.08,0.78,50.65999999999999,C,SA,stretch,acabado
HC0028,36479.54,0.74,42.40999999999999,B,401274.94,0.84,44.25,B,HC,shrink,acabado
SA0110,35125.6,0.71,43.11999999999999,B,355119.82,0.74,51.39999999999999,C,SA,stretch,acabado
HA0364,34667.78,0.7,43.81999999999999,B,381345.58,0.8,49.08999999999999,B,HA,shrink,acabado
HA0242,32461.81,0.66,45.139999999999986,B,425898.96,0.89,40.82,B,HA,shrink,acabado
SA0541,31693.6,0.64,45.77999999999999,B,320422.31,0.67,53.51,C,SA,stretch,acabado
HA0363,28866.1,0.58,46.359999999999985,B,317527.1,0.66,54.169999999999995,C,HA,shrink,acabado
SA0087,28620.7,0.58,46.93999999999998,B,289355.33,0.61,56.67999999999999,C,SA,stretch,acabado
SA0259,28171.18,0.57,47.509999999999984,B,332419.98,0.7,52.839999999999996,C,SA,stretch,acabado
HA0668,27206.16,0.55,48.05999999999998,B,311510.57,0.65,54.81999999999999,C,HA,shrink,acabado
HA0740,26403.08,0.53,49.12999999999998,B,290433.88,0.61,56.06999999999999,C,HA,shrink,acabado
SZ0153,25485.84,0.51,49.63999999999998,B,257661.78,0.54,60.04999999999999,C,SZ,stretch,semiacabado
SA0531,25468.4,0.51,50.14999999999998,C,250863.85,0.53,60.57999999999999,C,SA,stretch,acabado
HA0438,24600.0,0.5,51.159999999999975,C,270600.0,0.57,58.39999999999999,C,HA,shrink,acabado
HA0752,24303.8,0.49,51.64999999999998,C,267341.8,0.56,58.959999999999994,C,HA,shrink,acabado
SA0305,24041.6,0.49,52.13999999999998,C,304607.1,0.64,55.459999999999994,C,SA,stretch,acabado
SA0308,23378.88,0.47,53.089999999999975,C,389959.72000000003,0.82,45.07,B,SA,stretch,acabado
SA0049,22555.7,0.46,54.92999999999998,C,246533.73,0.52,61.099999999999994,C,SA,stretch,acabado
SA0165,22317.66,0.45,55.829999999999984,C,225631.49,0.47,63.07999999999999,C,SA,stretch,acabado
SA0155,22135.26,0.45,56.27999999999999,C,223787.47999999998,0.47,63.54999999999999,C,SA,stretch,acabado
SA0232,22079.8,0.45,56.72999999999999,C,381759.74,0.8,48.28999999999999,B,SA,stretch,acabado
SZ0163,21730.51,0.44,57.16999999999999,C,220129.91999999998,0.46,64.92999999999998,C,SZ,stretch,semiacabado
HA0273,21630.14,0.44,57.609999999999985,C,237931.54,0.5,62.60999999999999,C,HA,shrink,acabado
SA0017,21309.5,0.43,58.039999999999985,C,213095.0,0.45,65.82999999999998,C,SA,stretch,acabado
SA0027,21205.51,0.43,58.469999999999985,C,214387.69,0.45,65.37999999999998,C,SA,stretch,acabado
SA0307,21141.8,0.43,58.899999999999984,C,354970.85,0.74,52.13999999999999,C,SA,stretch,acabado
SA0219,21104.8,0.43,59.329999999999984,C,261699.52,0.55,59.50999999999999,C,SA,stretch,acabado
SA0075,20461.44,0.41,59.73999999999998,C,206865.16,0.43,67.57999999999998,C,SA,stretch,acabado
SA0109,20379.3,0.41,60.14999999999998,C,206034.68,0.43,68.00999999999999,C,SA,stretch,acabado
SA0547,20118.6,0.41,60.96999999999997,C,432348.7,0.9,39.03,B,SA,stretch,acabado
